year,player_name,sg_total,sg_off_the_tee,sg_approach,sg_around_green,sg_putting,driving_distance,driving_accuracy,greens_in_regulation,scoring_average,money_earned,final_season_rank,sg_tee_to_green
2016,Scott Pinckney,-0.325,0.511,-0.396,-0.376,-0.064,296.8,63.05,69.02,71.524,332533.0,,-0.261
2016,Scott Stallings,0.138,0.106,0.177,0.018,-0.305,295.5,56.95,66.11,70.966,697434.0,128.0,0.301
2016,Sean O'Hair,0.371,0.325,-0.187,0.024,0.208,302.2,58.84,67.17,70.677,1702713.0,27.0,0.162
2016,Sergio Garcia,0.801,0.737,0.482,-0.031,-0.388,299.9,61.76,70.15,69.999,3242156.0,32.0,1.188
2016,Shane Bertsch,,,,,,,,,,105493.0,,
2016,Shane Lowry,0.669,0.296,-0.18,0.139,0.113,298.7,61.85,64.51,70.64,1585436.0,102.0,0.255
2016,Shaun Micheel,,,,,,,,,,17760.0,,
2016,Shawn Stefani,-0.144,0.003,0.073,0.116,-0.336,292.1,58.4,66.48,71.287,698102.0,123.0,0.192
2016,Si Woo Kim,0.503,0.257,-0.168,0.403,-0.102,293.5,62.84,64.83,70.56,3086369.0,17.0,0.492
2016,Smylie Kaufman,0.344,-0.022,0.039,0.059,0.113,299.0,52.91,66.29,71.015,2508174.0,43.0,0.076
2016,Spencer Levin,0.238,0.043,0.003,0.184,0.008,281.3,67.79,66.33,70.927,1179882.0,94.0,0.22999999999999998
2016,Steve Flesch,,,,,,,,,,36062.0,,
2016,Steve Marino,-0.487,0.21,-0.35,-0.263,0.067,292.0,58.46,66.01,71.467,768200.0,130.0,-0.403
2016,Steve Stricker,0.721,-0.44,-0.003,0.544,0.62,278.0,63.23,63.0,69.996,1418647.0,76.0,0.10100000000000003
2016,Steve Wheatcroft,-0.221,0.008,-0.394,0.012,0.153,286.2,60.32,61.93,71.429,601164.0,137.0,-0.374
2016,Steven Bowditch,-3.209,-1.616,-1.68,-0.044,0.131,288.9,43.02,54.46,74.262,458891.0,,-3.3400000000000003
2016,Stewart Cink,0.062,-0.049,0.492,0.017,-0.398,296.9,58.4,70.4,70.846,437855.0,147.0,0.46
2016,Stuart Appleby,0.176,-0.173,-0.1,0.248,0.201,282.7,62.24,61.43,70.95,500214.0,143.0,-0.025000000000000022
2016,Sung Kang,0.004,-0.009,-0.121,-0.053,0.186,292.4,59.36,65.26,70.856,979576.0,96.0,-0.183
2016,Ted Purdy,,,,,,,,,,42027.0,,
2016,Thomas Aiken,0.156,0.438,0.101,-0.39,0.006,290.5,72.36,70.2,71.326,347686.0,,0.14900000000000002
2016,Tim Clark,,,,,,,,,,110361.0,,
2016,Tim Herron,,,,,,,,,,297238.0,,
2016,Tim Petrovic,,,,,,,,,,17142.0,,
2016,Tim Wilkinson,0.561,-0.459,0.424,0.26,0.335,279.3,62.36,64.71,70.704,708623.0,132.0,0.22499999999999998
2016,Tom Gillis,,,,,,,,,,93242.0,,
2016,Tom Hoge,-0.323,-0.315,0.236,-0.175,-0.07,289.5,55.81,62.48,71.444,561559.0,144.0,-0.254
2016,Tommy Gainey,,,,,,,,,,7872.0,,
2016,Tony Finau,0.128,0.365,-0.247,-0.045,-0.088,312.2,52.48,65.09,70.797,1814790.0,45.0,0.073
2016,Trevor Immelman,,,,,,,,,,20509.0,,
2016,Troy Matteson,,,,,,,,,,26248.0,,
2016,Troy Merritt,-0.364,-0.303,-0.138,-0.166,0.244,287.2,60.89,63.13,71.674,922707.0,121.0,-0.607
2016,Tyler Aldridge,-0.24,-0.115,-0.031,0.036,-0.13,285.2,57.95,65.54,71.412,517738.0,140.0,-0.11000000000000001
2016,Tyrone Van Aswegen,-0.009,-0.393,0.571,-0.013,-0.064,288.0,52.91,64.81,71.189,1025632.0,98.0,0.16499999999999992
2016,Vaughn Taylor,0.033,-0.113,0.612,-0.042,-0.424,287.0,61.59,64.43,71.028,1640750.0,62.0,0.457
2016,Vijay Singh,0.128,0.023,-0.01,0.209,-0.094,289.8,56.73,62.73,71.057,1210104.0,99.0,0.222
2016,Webb Simpson,0.667,0.146,0.728,0.276,-0.482,286.3,62.17,67.14,70.359,1450355.0,84.0,1.15
