year,player_name,sg_total,sg_off_the_tee,sg_approach,sg_around_green,sg_putting,driving_distance,driving_accuracy,greens_in_regulation,scoring_average,money_earned,final_season_rank,sg_tee_to_green
2023,Peter Malnati,-0.182,-0.571,-0.312,0.265,0.436,295.2,51.63,62.81,71.53,1369804.0,116.0,-0.618
2023,Philip Knowles,,,,,,,,,,53421.0,223.0,
2023,Richard Johnson,,,,,,,,,,8208.0,240.0,
2023,Richy Werenski,-0.76,-0.137,-0.802,-0.138,0.316,300.5,58.38,62.79,72.017,617783.0,145.0,-1.077
2023,Rickie Fowler,1.426,0.126,0.74,0.269,0.29,308.1,58.51,68.11,69.576,7864161.0,16.0,1.135
2023,Ricky Barnes,,,,,,,,,,190721.0,203.0,
2023,Robby Shelton,-0.076,-0.296,0.125,0.219,-0.123,294.1,59.11,65.49,71.037,1743610.0,92.0,0.048000000000000015
2023,Robert Garrigus,,,,,,,,,,48425.0,,
2023,Robert Streb,-0.684,-0.037,-0.229,0.023,-0.441,297.6,56.98,66.53,71.74,402060.0,173.0,-0.24300000000000002
2023,Rory McIlroy,2.102,0.907,0.721,0.309,0.164,326.3,53.25,67.88,68.777,13921008.0,4.0,1.937
2023,Rory Sabbatini,,,,,,,,,,149009.0,210.0,
2023,Russell Henley,0.882,0.197,0.556,0.249,-0.121,290.9,72.57,69.51,69.759,6332282.0,14.0,1.0020000000000002
2023,Russell Knox,-0.293,-0.511,0.54,-0.046,-0.277,285.3,62.7,71.69,71.498,692454.0,144.0,-0.016999999999999973
2023,Ryan Armour,-0.53,-0.153,-0.043,-0.126,-0.208,283.6,71.1,69.08,71.651,539788.0,156.0,-0.322
2023,Ryan Brehm,-1.159,-0.376,-0.554,-0.44,0.212,308.1,48.96,64.53,72.61,596227.0,169.0,-1.37
2023,Ryan Gerard,-0.21,-0.148,0.25,0.13,-0.443,297.7,58.95,65.05,71.469,,,0.232
2023,Ryan Moore,0.171,-0.112,0.522,-0.211,-0.029,287.0,70.15,69.41,71.115,1234755.0,150.0,0.19900000000000004
